,title,release_date,poster,allocine_id,genre
0,Médée,1970-01-28,http://fr.web.img4.acsta.net/pictures/17/10/04/09/08/0252531.jpg,512,Drame
2,"Cousin, Cousine",1975-11-19,http://fr.web.img4.acsta.net/medias/nmedia/18/69/05/45/19052148.jpg,1536,Comédie dramatique
3,Massacre à la tronçonneuse,1982-05-05,http://fr.web.img3.acsta.net/pictures/14/09/25/13/08/561794.jpg,2048,Thriller-Policier
4,Zéro de conduite : Jeunes diables au collège,1933-04-07,http://fr.web.img5.acsta.net/medias/nmedia/18/60/03/96/18605217.jpg,2304,Comédie dramatique
7,La Tête en l'air,2013-01-30,http://fr.web.img3.acsta.net/medias/nmedia/18/94/68/90/20348407.jpg,200448,Animation
9,Les Mouvements du bassin,2012-09-26,http://fr.web.img4.acsta.net/medias/nmedia/18/70/80/03/20197529.jpg,137216,Drame
10,La Harpe de Birmanie,1957-04-26,http://fr.web.img6.acsta.net/medias/nmedia/18/66/62/25/18944662.jpg,6912,Drame
11,L'Incroyable vérité,1992-09-23,http://fr.web.img3.acsta.net/pictures/19/09/06/14/29/3890871.jpg,7680,Comédie dramatique
12,The Tourist,2010-12-15,http://fr.web.img3.acsta.net/medias/nmedia/18/78/45/68/19575371.jpg,138752,Thriller-Policier
13,Ça commence par la fin,2010-05-26,http://fr.web.img4.acsta.net/medias/nmedia/18/76/34/73/19282175.jpg,139520,Drame
14,Sans Issue,2012-05-02,http://fr.web.img1.acsta.net/medias/nmedia/18/88/96/93/20059966.jpg,140288,Action
15,La Belle endormie,2013-04-10,http://fr.web.img5.acsta.net/medias/nmedia/18/96/35/00/20499670.jpg,207104,Drame
18,Amour & turbulences,2013-04-03,http://fr.web.img3.acsta.net/medias/nmedia/18/96/41/34/20465398.jpg,209664,Comédie
20,Stone,2011-05-11,http://fr.web.img2.acsta.net/medias/nmedia/18/73/62/60/19704945.jpg,145920,Drame
21,L'Investigateur (The Investigator),2009-08-19,http://fr.web.img1.acsta.net/medias/nmedia/18/70/90/75/19139416.jpg,146944,Thriller-Policier
22,Dr. Dolittle,1998-08-12,http://fr.web.img6.acsta.net/medias/04/20/81/042081_af.jpg,18432,Comédie
23,20 Feet from Stardom,2013-12-04,http://fr.web.img5.acsta.net/pictures/210/247/21024770_20130806114228246.jpg,217344,Documentaire
24,Après la nuit,2014-04-23,http://fr.web.img3.acsta.net/pictures/14/03/07/14/37/304952.jpg,220928,Drame
26,Le Roi et l'oiseau,1980-03-19,http://fr.web.img5.acsta.net/pictures/210/095/21009544_20130530152117763.jpg,29696,Animation
28,Le coup du parapluie,1980-10-08,http://fr.web.img5.acsta.net/medias/nmedia/18/65/25/73/19142018.jpg,33280,Comédie
30,Le Bruit des glaçons,2010-08-25,http://fr.web.img1.acsta.net/medias/nmedia/18/78/33/84/19470884.jpg,173056,Comédie dramatique
33,La Carapate,1978-10-11,http://fr.web.img3.acsta.net/medias/nmedia/18/65/04/29/19141196.jpg,48128,Comédie
35,Le Temps du ghetto,1961-11-22,http://fr.web.img6.acsta.net/pictures/19/10/09/09/22/5783600.jpg,52480,Documentaire
36,Aliens vs. Predator - Requiem,2008-01-02,http://fr.web.img6.acsta.net/medias/nmedia/18/63/82/98/18863317.jpg,120576,Action
38,Le Royaume interdit,2008-09-24,http://fr.web.img3.acsta.net/medias/nmedia/18/65/56/23/18971119.jpg,123392,Action
39,La mer à boire,2012-02-22,http://fr.web.img2.acsta.net/medias/nmedia/18/84/53/55/19958184.jpg,189184,Drame
40,Le Quatuor,2013-07-10,http://fr.web.img4.acsta.net/pictures/210/085/21008593_20130527151903959.jpg,189440,Drame
41,Le Deal,2007-03-14,http://fr.web.img6.acsta.net/medias/nmedia/18/64/05/76/18749370.jpg,124928,Comédie
43,Après le Sud,2011-10-12,http://fr.web.img3.acsta.net/medias/nmedia/18/84/00/63/19822735.jpg,193024,Drame
44,Chop Shop,2008-10-15,http://fr.web.img2.acsta.net/medias/nmedia/18/64/40/21/18996463.jpg,128512,Drame
45,Ma vie pour la tienne,2009-09-09,http://fr.web.img6.acsta.net/medias/nmedia/18/70/29/69/19142917.jpg,130304,Drame
48,Morning Glory,2011-04-06,http://fr.web.img5.acsta.net/medias/nmedia/18/73/92/28/19635401.jpg,131841,Comédie dramatique
49,L'Atalante,1934-09-12,http://fr.web.img1.acsta.net/medias/nmedia/18/60/04/98/18823940.jpg,2305,Comédie dramatique
50,Ultimatum,2009-09-30,http://fr.web.img5.acsta.net/medias/nmedia/18/71/28/83/19132375.jpg,134913,Drame
51,L'ours,1988-10-19,http://fr.web.img2.acsta.net/medias/nmedia/18/66/16/17/19160517.jpg,4097,Drame
52,Romuald et Juliette,1989-03-22,http://fr.web.img1.acsta.net/medias/nmedia/18/64/14/66/19648829.jpg,4609,Comédie
53,Lourdes,2011-07-27,http://fr.web.img4.acsta.net/medias/nmedia/18/72/72/75/19756571.jpg,137217,Drame
54,Au-delà des collines,2012-11-21,http://fr.web.img5.acsta.net/medias/nmedia/18/90/57/31/20243444.jpg,204033,Drame
55,Le Septième voyage de Sinbad,1958-12-10,http://fr.web.img4.acsta.net/pictures/210/047/21004796_20130510155324661.jpg,8193,Action
56,Guy de Maupassant,1982-04-14,http://fr.web.img6.acsta.net/medias/nmedia/18/62/90/02/18658011.jpg,8449,Comédie dramatique
57,Le Fan,1997-07-09,http://fr.web.img4.acsta.net/medias/nmedia/18/63/06/74/18956370.jpg,11009,Thriller-Policier
