title,release_date,genre_1,genre_2,genre_3,poster
M. Night Shyamalan Thriller 2023,2023-02-15,Thriller,,,http://fr.web.img6.acsta.net/pictures/20/01/08/13/36/3527810.jpg
Aquaman 2,2022-12-14,Action,Aventure,Fantastique,http://fr.web.img3.acsta.net/pictures/19/02/01/21/02/1004291.jpg
Mission: Impossible 8,2022-08-03,Action,Espionnage,,http://fr.web.img3.acsta.net/pictures/19/02/19/11/31/2168974.jpg
The Flash,2022-06-29,Action,Fantastique,Science fiction,http://fr.web.img2.acsta.net/pictures/16/07/25/18/04/156624.jpg
Black Panther 2,2022-05-04,Action,Aventure,,http://fr.web.img4.acsta.net/pictures/18/03/09/17/10/0318945.jpg
Black Adam,2021-12-22,Action,Fantastique,,http://fr.web.img5.acsta.net/pictures/19/11/14/21/26/1797902.png
Wicked,2021-12-22,Comédie musicale,,,http://fr.web.img2.acsta.net/pictures/16/06/17/11/07/386452.jpg
Thor: Love And Thunder,2021-11-03,Aventure,Action,Science fiction,http://fr.web.img2.acsta.net/pictures/19/07/22/12/35/1807628.jpg
Sesame Street,2021-08-18,Comédie,Famille,Musical,http://fr.web.img5.acsta.net/pictures/20/01/08/15/05/3934701.jpg
Micronauts,2021-08-11,Action,Science fiction,,http://fr.web.img1.acsta.net/pictures/18/01/16/10/23/1384822.jpg
Spirit Riding Free Film,2021-08-04,Animation,,,http://fr.web.img3.acsta.net/pictures/20/01/07/17/25/3727537.jpg
The Suicide Squad,2021-08-04,Fantastique,Aventure,Action,http://fr.web.img6.acsta.net/pictures/20/01/08/15/26/1789369.jpg
Mission: Impossible 7,2021-07-21,Action,Espionnage,,http://fr.web.img3.acsta.net/pictures/19/03/05/17/34/0744728.jpg
Spider-Man: Homecoming 3,2021-07-14,Action,Aventure,,http://fr.web.img1.acsta.net/pictures/19/10/02/21/34/5281471.jpg
Space Jam 2,2021-07-14,Animation,Comédie,Famille,http://fr.web.img1.acsta.net/pictures/20/01/08/15/12/3588289.jpg
Tous en scène 2,2021-07-07,Animation,Comédie musicale,,http://fr.web.img3.acsta.net/pictures/19/02/22/13/46/4353125.jpg
Cruella,2021-05-26,Comédie,,,http://fr.web.img5.acsta.net/pictures/19/08/26/09/33/2152286.jpg
Doctor Strange in the Multiverse of Madness,2021-05-05,Fantastique,Action,Epouvante-horreur,http://fr.web.img6.acsta.net/pictures/19/07/22/12/37/4302940.jpg
Nimona,2021-03-03,Animation,Fantastique,Science fiction,http://fr.web.img5.acsta.net/pictures/17/08/16/14/47/417277.jpg
Mortal Kombat,2021-02-17,Action,Arts Martiaux,,http://fr.web.img2.acsta.net/pictures/20/01/08/14/59/4960135.jpg
Shang-Chi and the Legend of the Ten Rings,2021-02-10,Action,,,http://fr.web.img4.acsta.net/pictures/19/07/22/12/39/4943565.jpg
Rugrats,2021-02-03,Animation,,,http://fr.web.img3.acsta.net/pictures/18/07/17/11/07/5199866.jpg
Do you do you Saint-Tropez,2021-01-27,Policier,Comédie,,http://fr.web.img3.acsta.net/pictures/19/09/20/10/25/1404513.jpg
Tom McCarthy Thriller Starring Matt Damon,2021-01-27,Drame,Thriller,,http://fr.web.img4.acsta.net/pictures/20/01/07/16/55/5297895.jpg
News of The World,2021-01-06,Aventure,Drame,Western,http://fr.web.img2.acsta.net/pictures/19/10/30/12/38/0417648.jpg
Coming 2 America,2021-01-06,Comédie,,,http://fr.web.img6.acsta.net/pictures/19/12/23/11/35/0179047.jpg
Super Papa,2021-01-06,Drame,Famille,,http://fr.web.img1.acsta.net/pictures/19/12/19/13/08/2688493.jpg
Dune,2020-12-23,Science fiction,,,http://fr.web.img2.acsta.net/pictures/18/09/07/01/21/3779423.jpg
Untitled Paramount/Skydance Event Movie,2020-12-23,Animation,,,http://fr.web.img3.acsta.net/commons/v9/common/empty/empty_portrait.png
Uncharted,2020-12-16,Action,Aventure,,http://fr.web.img4.acsta.net/pictures/15/08/27/10/42/452313.jpg
Samaritan,2020-12-09,Action,Fantastique,Fantastique,http://fr.web.img3.acsta.net/pictures/19/12/16/14/43/0980424.jpg
Raya and The Last Dragon,2020-11-25,Animation,Fantastique,Aventure,http://fr.web.img5.acsta.net/pictures/19/09/13/02/44/1024306.jpg
Boîte noire,2020-11-18,Thriller,Drame,,http://fr.web.img3.acsta.net/pictures/19/11/25/11/47/4953477.jpg
Godzilla vs Kong,2020-11-18,Action,Aventure,,http://fr.web.img3.acsta.net/pictures/16/05/11/12/32/357718.jpg
L'Origine Du Monde,2020-11-11,Comédie dramatique,,,http://fr.web.img1.acsta.net/pictures/19/11/25/11/41/5162674.jpg
Basta Capital,2020-11-04,Drame,,,http://fr.web.img5.acsta.net/pictures/19/08/06/11/48/0720770.jpg
Eternals,2020-11-04,Science fiction,Fantastique,Action,http://fr.web.img6.acsta.net/pictures/19/07/22/12/41/1985226.jpg
